종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"005940","NH투자증권","KOSPI",,"13790","20","0.15","13770","13930","13670","631642","8709581420","4516118803210","327492299"
"005945","NH투자증권우","KOSPI",,"12100","0","0.00","12100","12160","12060","37747","457225750","228338712800","18870968"
"338100","NH프라임리츠","KOSPI",,"4070","-60","-1.45","4175","4175","4050","34312","140070520","75946200000","18660000"
"034310","NICE","KOSPI",,"11240","0","0.00","11160","11250","11160","11980","134397570","421539081480","37503477"
"030190","NICE평가정보","KOSPI",,"12150","-190","-1.54","12490","12580","11990","76102","928905980","730308190500","60107670"
"008260","NI스틸","KOSPI",,"3650","-25","-0.68","3715","3715","3600","54444","196918735","104390427050","28600117"
"004250","NPC","KOSPI",,"4365","-50","-1.13","4500","4500","4335","12399","54261650","160282800000","36720000"
"004255","NPC우","KOSPI",,"2590","-15","-0.58","2580","2615","2570","386","997280","13675200000","5280000"
"222160","NPX","KOSDAQ","관리종목(소속부없음)","8040","0","0.00","0","0","0","0","0","79551289560","9894439"
"456040","OCI","KOSPI",,"64200","-300","-0.47","65400","65400","63100","16707","1064475400","574750179000","8952495"
"010060","OCI홀딩스","KOSPI",,"62900","-1200","-1.87","64800","64800","62700","41446","2624440600","1203110503700","19127353"
"178920","PI첨단소재","KOSPI",,"17550","750","4.46","17000","17590","16600","145528","2506196640","515378951100","29366322"
"024940","PN풍년","KOSDAQ","벤처기업부","9240","70","0.76","9430","10580","9010","7838355","77507986910","92400000000","10000000"
"005490","POSCO홀딩스","KOSPI",,"264000","-6500","-2.40","271000","271500","262000","568351","150353751500","21812835528000","82624377"
"218410","RFHIC","KOSDAQ","우량기업부","12410","150","1.22","12260","12480","12130","94162","1158408120","328671925220","26484442"
"327260","RF머트리얼즈","KOSDAQ","벤처기업부","4865","-30","-0.61","4950","4950","4835","15187","73977175","41027668815","8433231"
"474610","RF시스템즈","KOSDAQ","벤처기업부","4365","50","1.16","4340","4770","4120","1300834","5802795980","54920704995","12582063"
"091340","S&K폴리텍","KOSDAQ","중견기업부","2590","15","0.58","2575","2680","2555","49033","126400080","30312637390","11703721"
"010950","S-Oil","KOSPI",,"56700","-1400","-2.41","57700","57800","56700","125271","7129529900","6383444306400","112582792"
"010955","S-Oil우","KOSPI",,"38700","50","0.13","38800","38800","38550","4406","170438900","155648574900","4021927"
"419530","SAMG엔터","KOSDAQ","기술성장기업부","13170","-260","-1.94","13430","13430","13160","39430","522904000","113142548100","8590930"
"019550","SBI인베스트먼트","KOSDAQ","중견기업부","802","-3","-0.37","807","817","794","585631","470838737","129977393150","162066575"
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)","4965","0","0.00","4970","4970","4965","16057","79733245","119420861100","24052540"
"034120","SBS","KOSPI",,"15520","-160","-1.02","15680","15710","15480","66752","1040267970","287915213760","18551238"
"036120","SCI평가정보","KOSDAQ","중견기업부","2185","-55","-2.46","2240","2240","2170","102750","225651085","77567500000","35500000"
"246960","SCL사이언스","KOSDAQ","기술성장기업부","8290","-30","-0.36","8360","8490","8290","4728","39503260","60379394290","7283401"
"099220","SDN","KOSDAQ","중견기업부","1285","-64","-4.74","1340","1340","1276","759736","986144241","72180777135","56171811"
"036540","SFA반도체","KOSDAQ","우량기업부","3240","35","1.09","3240","3260","3180","344126","1108715870","532851381720","164460303"
"255220","SG","KOSDAQ","중견기업부","3285","35","1.08","3350","3440","3210","6927065","22849971020","316635598350","96388310"
"040610","SG&G","KOSDAQ","중견기업부","1600","-8","-0.50","1609","1621","1597","73706","118627864","54539513600","34087196"
"049470","SGA","KOSDAQ","중견기업부","296","-8","-2.63","304","306","290","221004","65748467","17423225704","58862249"
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","477","1","0.21","480","480","460","77733","36438965","29859799797","62599161"
"016250","SGC E&C","KOSDAQ","우량기업부","12900","200","1.57","12730","12910","12620","3279","42173700","41842246500","3243585"
"005090","SGC에너지","KOSPI",,"26050","450","1.76","25600","26350","25600","27916","729493500","375363124650","14409333"
"001380","SG글로벌","KOSPI",,"3685","420","12.86","3420","4095","3295","54314778","204536205220","165692866955","44964143"
"004060","SG세계물산","KOSPI",,"334","-4","-1.18","339","343","333","301432","102025198","67609936640","202424960"
"001770","SHD","KOSPI",,"14000","0","0.00","14000","14330","13860","936","13097320","17008292000","1214878"
"002360","SH에너지화학","KOSPI",,"518","-2","-0.38","522","522","515","297999","154419742","57567272140","111133730"
"009160","SIMPAC","KOSPI",,"3840","20","0.52","3975","3975","3810","25698","98561505","251249341440","65429516"
